Year,Make,Model,Price,Miles,Age,Norm_Price,Norm_Miles,Norm_Age,Composite_Score,Rank
2020,Chevrolet,Spark LT CVT,13998,38000,4,0.7496837666900913,0.6200310015500775,0.0,0.6358195604790781,81.0
2020,Chevrolet,Sonic 5dr HB LT w/1FL,14544,33000,4,0.7241040056219255,0.6700335016750838,0.0,0.6354724538756804,82.0
2023,Kia,Forte LXS IVT,17900,27000,1,0.5668774888732724,0.7300365018250912,0.75,0.6341374438714908,83.0
2023,Kia,Forte LXS IVT,18998,17000,1,0.5154368704614665,0.8300415020751037,0.75,0.6332745728994109,84.0
2023,Kia,Forte LXS IVT,20000,8000,1,0.46849379245724987,0.920046002300115,0.75,0.6321100761643843,85.0
2023,Kia,Soul LX IVT,18400,23000,1,0.5434527992504099,0.7700385019250963,0.75,0.6320832301277748,86.0
2020,Kia,Soul LX IVT,14996,30000,4,0.7029280862028577,0.7000350017500875,0.0,0.6317673522467409,87.0
2023,Nissan,Sentra SV,19500,13000,1,0.49191848208011235,0.8700435021751087,0.75,0.6311641399006,88.0
2021,Kia,Soul LX IVT,15911,30000,3,0.6600609041930194,0.7000350017500875,0.25,0.6310470430408379,89.0
2020,Chevrolet,Spark LS CVT,14599,34000,4,0.7215272897634106,0.6600330016500825,0.0,0.6309262743530711,90.0
2023,Nissan,Versa SV CVT,18998,18000,1,0.5154368704614665,0.8200410020501026,0.75,0.6302744228919106,91.0
2023,Nissan,Kicks S,20499,4000,1,0.4451159522136332,0.96004800240012,0.75,0.6300839720482159,92.0
2023,Nissan,Sentra SV,19120,17000,1,0.5097212461934879,0.8300415020751037,0.75,0.629845198338624,93.0
2024,Hyundai,Elantra SEL IVT,21420,4000,0,0.40196767392832045,0.96004800240012,1.0,0.6291950050770282,94.0
2020,Chevrolet,Spark LT CVT,14343,37000,4,0.7335207308503162,0.6300315015750788,0.0,0.6291218889827134,95.0
2023,Nissan,Kicks SV,19698,12000,1,0.4826423049894588,0.88004400220011,0.75,0.6285985836537082,96.0
2021,Nissan,LEAF S PLUS,18995,2000,3,0.5155774185992035,0.9800490024501225,0.25,0.6283611518945588,97.0
2020,Chevrolet,Sonic 5dr HB LT w/1FL,15998,22000,4,0.6559850081986414,0.7800390019500976,0.0,0.627602705504214,98.0
2021,Chevrolet,Spark 1LT CVT,14995,40000,3,0.7029749355821036,0.600030001500075,0.25,0.6267939617992847,99.5
2021,Chevrolet,Spark 1LT CVT,14995,40000,3,0.7029749355821036,0.600030001500075,0.25,0.6267939617992847,99.5
2022,Chevrolet,Spark 1LT CVT,15577,43000,2,0.6757085968610916,0.5700285014250712,0.5,0.6264337085441763,101.0
2021,Ford,EcoSport S FWD,17998,12000,3,0.5622862497071914,0.88004400220011,0.25,0.6263849504843478,102.0
2023,Nissan,Kicks S,20204,8000,1,0.4589365190911221,0.920046002300115,0.75,0.6263757121447078,103.0
2023,Hyundai,Elantra SE IVT,19995,10000,1,0.4687280393534785,0.9000450022501125,0.75,0.6262503242871209,104.0
2023,Kia,Forte LXS IVT,18295,26000,1,0.5483719840712111,0.7400370018500925,0.75,0.6260342909977543,105.0
2021,Mitsubishi,Mirage ES Hatchback CVT,14599,44000,3,0.7215272897634106,0.56002800140007,0.25,0.6259247742780674,106.0
2021,Hyundai,Venue SE IVT,13985,50000,3,0.7502928086202858,0.5000250012500624,0.25,0.6251831855471902,107.0
2023,Chevrolet,Bolt EUV LT,19500,15000,1,0.49191848208011235,0.8500425021251062,0.75,0.6251638398855992,108.0
2021,Volkswagen,Jetta S Manual,16997,22000,3,0.609182478332162,0.7800390019500976,0.25,0.6245211875843265,109.0
2022,Toyota,Corolla LE CVT,19499,7000,2,0.49196533145935817,0.9300465023251162,0.5,0.6241931495731499,110.0
2021,Chevrolet,Spark 1LT CVT,14995,41000,3,0.7029749355821036,0.5900295014750737,0.25,0.6237938117917843,112.0
2021,Chevrolet,Spark 1LT CVT,14995,41000,3,0.7029749355821036,0.5900295014750737,0.25,0.6237938117917843,112.0
2021,Chevrolet,Spark 1LT CVT,14995,41000,3,0.7029749355821036,0.5900295014750737,0.25,0.6237938117917843,112.0
2021,Chevrolet,Spark LS CVT,14998,41000,3,0.7028343874443663,0.5900295014750737,0.25,0.6237094829091419,114.0
2023,Hyundai,Elantra SEL IVT,19995,11000,1,0.4687280393534785,0.8900445022251112,0.75,0.6232501742796204,115.0
2023,Kia,Soul LX IVT,19685,14000,1,0.4832513469196533,0.8600430021501075,0.75,0.6229637087968243,116.0
2021,Chevrolet,Spark LS CVT,12800,62000,3,0.8058093230264698,0.3800190009500475,0.25,0.6224912941008961,117.0
2023,Hyundai,Venue SEL IVT,19500,16000,1,0.49191848208011235,0.840042002100105,0.75,0.6221636898780989,118.0
2023,Nissan,Sentra SV,20998,2000,1,0.4217381119700163,0.9800490024501225,0.75,0.6220575679170466,119.0
2022,Nissan,Versa SV CVT,17995,22000,2,0.5624267978449287,0.7800390019500976,0.5,0.6214677792919865,120.0
2020,Chevrolet,Sonic 5dr HB LT w/1FL,13998,43000,4,0.7496837666900913,0.5700285014250712,0.0,0.6208188104415762,121.5
2020,Mitsubishi,Mirage ES Hatchback CVT,13998,43000,4,0.7496837666900913,0.5700285014250712,0.0,0.6208188104415762,121.5
2021,Chevrolet,Spark 1LT CVT,14995,42000,3,0.7029749355821036,0.5800290014500724,0.25,0.6207936617842839,123.5
2021,Chevrolet,Spark 1LT CVT,14995,42000,3,0.7029749355821036,0.5800290014500724,0.25,0.6207936617842839,123.5
2023,Nissan,Sentra SV,18802,23000,1,0.5246193487936286,0.7700385019250963,0.75,0.6207831598537059,125.0
2024,Nissan,Sentra SV,21934,2000,0,0.37788709299601786,0.9800490024501225,1.0,0.6207469565326474,126.0
2022,Hyundai,Venue SE IVT,17488,27000,2,0.5861794331225112,0.7300365018250912,0.5,0.620718610421034,127.0
2022,Mitsubishi,Outlander Sport SE 2.0 AWC CVT,19734,6000,2,0.48095572733661274,0.9400470023501175,0.5,0.6205875371070029,128.0
2024,Nissan,Sentra SV,22117,413,0,0.36931365659405024,0.9959197959897995,1.0,0.62036413275337,129.0
2022,Hyundai,Accent SE,18998,13000,2,0.5154368704614665,0.8700435021751087,0.5,0.6202751729294125,130.0
2023,Nissan,Kicks SV,18927,22000,1,0.5187631763879128,0.7800390019500976,0.75,0.6202696064177768,131.0
2024,Hyundai,Elantra SEL IVT,20995,11000,0,0.42187866010775354,0.8900445022251112,1.0,0.6201405467321854,132.0
2023,Nissan,Kicks S,20997,3000,1,0.42178496134926213,0.9700485024251213,0.75,0.6190855275370937,133.0
2024,Kia,Soul LX IVT,21998,2000,0,0.3748887327242916,0.9800490024501225,1.0,0.6189479403696116,134.0
2021,Kia,Seltos S 2.0 FWD,17000,24000,3,0.609041930194425,0.760038001900095,0.25,0.6184365586866835,135.0
2022,Kia,Soul LX IVT,18000,23000,2,0.5621925509487,0.7700385019250963,0.5,0.618327081146749,136.0
2023,Hyundai,Elantra SEL IVT,16972,41000,1,0.6103537128133052,0.5900295014750737,0.75,0.6182210781305053,137.0
2021,Chevrolet,Spark 1LT CVT,14995,43000,3,0.7029749355821036,0.5700285014250712,0.25,0.6177935117767835,138.0
2020,Kia,Soul LX Manual,16998,16000,4,0.6091356289529164,0.840042002100105,0.0,0.6174939780017814,139.0
2023,Nissan,Kicks S,19890,14000,1,0.47364722417427974,0.8600430021501075,0.75,0.6172012351496001,140.0
2020,Chevrolet,Spark LS CVT,13599,48000,4,0.7683766690091356,0.520026001300065,0.0,0.6170338017955008,141.0
2020,Mitsubishi,Mirage G4 ES Sedan CVT,12649,57000,4,0.8128835792925744,0.43002150107505377,0.0,0.6167365978980608,142.0
2021,Kia,Forte LXS IVT,17488,20000,3,0.5861794331225112,0.8000400020001001,0.25,0.6167196604735368,143.0
2023,Kia,Forte LXS IVT,20800,6000,1,0.43101428906066985,0.9400470023501175,0.75,0.6156226741414372,144.0
2023,Hyundai,Elantra SEL IVT,19422,19000,1,0.49557273366127896,0.8100405020251013,0.75,0.6153557908042977,145.0
2021,Toyota,Camry LE Automatic,18950,7000,3,0.5176856406652612,0.9300465023251162,0.25,0.6146253350966916,146.0
2022,Kia,Forte LXS IVT,18998,15000,2,0.5154368704614665,0.8500425021251062,0.5,0.6142748729144119,147.0
2024,Toyota,Corolla LE CVT,20889,14000,0,0.42684469430780037,0.8600430021501075,1.0,0.6141197172297125,148.0
2020,Chevrolet,Sonic 5dr HB LT w/1FL,14998,36000,4,0.7028343874443663,0.64003200160008,0.0,0.6137102329466437,149.0
2022,Kia,Soul LX IVT,19998,6000,2,0.4685874912157415,0.9400470023501175,0.5,0.6131665954344802,150.0
2021,Kia,Soul LX IVT,16979,26000,3,0.6100257671585851,0.7400370018500925,0.25,0.6130265608501788,151.0
2023,Hyundai,Kona SEL FWD Automatic,21320,2000,1,0.40665261185289303,0.9800490024501225,0.75,0.6130062678467725,152.0
2024,Volkswagen,Jetta Sport Automatic,21999,4000,0,0.37484188334504576,0.96004800240012,1.0,0.6129195307270634,153.0
2023,Hyundai,Elantra SEL IVT,20700,8000,1,0.43569922698524244,0.920046002300115,0.75,0.6124333368811798,154.0
2023,Hyundai,Elantra SEL IVT,18900,25000,1,0.5200281096275474,0.7500375018750938,0.75,0.6120281163390566,155.0
2022,Kia,Forte LXS IVT,17804,27000,2,0.5713750292808619,0.7300365018250912,0.5,0.6118359681160446,156.0
2021,Chevrolet,Spark 1LT CVT,14995,45000,3,0.7029749355821036,0.5500275013750687,0.25,0.6117932117617828,157.5
2021,Chevrolet,Spark 1LT CVT,14995,45000,3,0.7029749355821036,0.5500275013750687,0.25,0.6117932117617828,157.5
2021,Kia,Forte LXS IVT,17998,17000,3,0.5622862497071914,0.8300415020751037,0.25,0.6113842004468459,159.0
2020,Chevrolet,Trax LS FWD,13700,49000,4,0.7636448817053174,0.5100255012750637,0.0,0.6111945794057095,160.0
2023,Chevrolet,Malibu LT,20000,15000,1,0.46849379245724987,0.8500425021251062,0.75,0.6111090261118817,161.0
2023,Nissan,Sentra SV,18615,28000,1,0.533380182712579,0.72003600180009,0.75,0.6110389101675744,162.0
2020,Chevrolet,Trax LS FWD,16058,27000,4,0.6531740454438979,0.7300365018250912,0.0,0.6109153778138661,163.0
2021,Chevrolet,Spark ACTIV CVT,15998,36000,3,0.6559850081986414,0.64003200160008,0.25,0.6106006053992088,164.0
2021,Nissan,Sentra S CVT,18775,10000,3,0.525884282033263,0.9000450022501125,0.25,0.6105440698949915,165.0
2021,Hyundai,Venue SEL IVT,18888,9000,3,0.5205903021784961,0.9100455022751137,0.25,0.6103678319896317,166.0
2022,Nissan,Sentra SV CVT,19998,7000,2,0.4685874912157415,0.9300465023251162,0.5,0.6101664454269797,167.5
2022,Buick,Encore GX Select FWD,19998,7000,2,0.4685874912157415,0.9300465023251162,0.5,0.6101664454269797,167.5
2024,Hyundai,Kona SE FWD Automatic,21996,5000,0,0.374982431482783,0.9500475023751187,1.0,0.6100037096022054,169.0
2023,Nissan,Altima 2.5 S FWD,20260,13000,1,0.45631295385336146,0.8700435021751087,0.75,0.6098008229645495,170.0
2021,Nissan,Versa S CVT,16995,27000,3,0.6092761770906536,0.7300365018250912,0.25,0.6095766568019195,171.0
2023,Kia,Forte LXS IVT,18998,25000,1,0.5154368704614665,0.7500375018750938,0.75,0.609273372839408,172.5
2023,Kia,Forte LXS IVT,18998,25000,1,0.5154368704614665,0.7500375018750938,0.75,0.609273372839408,172.5
2023,Kia,Forte LXS IVT,18900,26000,1,0.5200281096275474,0.7400370018500925,0.75,0.6090279663315561,174.0
2023,Nissan,Sentra SV,19543,20000,1,0.4899039587725462,0.8000400020001001,0.75,0.6089543758635578,175.0
2022,Mitsubishi,Outlander Sport LE 2.0 AWC CVT,17800,28000,2,0.571562426797845,0.72003600180009,0.5,0.608948256618734,176.0
2024,Hyundai,Elantra SEL IVT,22144,4000,0,0.36804872335441563,0.96004800240012,1.0,0.6088436347326853,177.0
2021,Nissan,Versa S CVT,14995,46000,3,0.7029749355821036,0.5400270013500674,0.25,0.6087930617542824,178.5
2021,Chevrolet,Spark 1LT CVT,14995,46000,3,0.7029749355821036,0.5400270013500674,0.25,0.6087930617542824,178.5
2021,Chevrolet,Spark 1LT CVT,14998,46000,3,0.7028343874443663,0.5400270013500674,0.25,0.60870873287164,180.0
2022,Hyundai,Accent SE,15997,45000,2,0.6560318575778872,0.5500275013750687,0.5,0.608627364959253,181.0
2023,Kia,Soul LX IVT,19998,16000,1,0.4685874912157415,0.840042002100105,0.75,0.6081650953594764,182.0
2023,Hyundai,Venue SEL IVT,17999,35000,1,0.5622394003279456,0.6500325016250812,0.75,0.6073533906842918,183.0
2022,Chevrolet,Spark 1LT CVT,12954,74000,2,0.7985945186226282,0.2600130006500325,0.5,0.6071606113685867,184.0
2023,Kia,Forte LXS IVT,20998,7000,1,0.4217381119700163,0.9300465023251162,0.75,0.6070568178795446,185.0
2023,Hyundai,Elantra SEL IVT,20585,11000,1,0.4410869055985007,0.8900445022251112,0.75,0.6066654940266338,186.0
2023,Hyundai,Sonata SE 2.5L,20500,12000,1,0.4450691028343874,0.88004400220011,0.75,0.6060546623606653,187.0
2023,Nissan,Sentra SV,19988,17000,1,0.46905598500819856,0.8300415020751037,0.75,0.6054460416274503,188.0
2021,Ford,EcoSport SE 4WD,17900,20000,3,0.5668774888732724,0.8000400020001001,0.25,0.6051384939239934,189.0
2023,Hyundai,Elantra SEL IVT,21499,3000,1,0.39826657296790824,0.9700485024251213,0.75,0.6049744945082813,190.0
2021,Kia,Soul S IVT,14920,48000,3,0.7064886390255329,0.520026001300065,0.25,0.6049009838053393,191.0
2023,Hyundai,Elantra SEL IVT,19800,19000,1,0.47786366830639504,0.8100405020251013,0.75,0.6047303515913673,192.0
2021,Chevrolet,Trax LS FWD,17599,23000,3,0.5809791520262357,0.7700385019250963,0.25,0.6045990417932704,193.0
2022,Nissan,Sentra SV CVT,17533,32000,2,0.5840712110564534,0.680034001700085,0.5,0.6044529271438976,194.0
2023,Kia,Soul LX IVT,19500,22000,1,0.49191848208011235,0.7800390019500976,0.75,0.6041627898330966,195.0
2021,Mitsubishi,Mirage ES Hatchback CVT,13998,57000,3,0.7496837666900913,0.43002150107505377,0.25,0.6038167103365709,196.0
