Year,Make,Model,Price,Miles,Rating,Source
2021,Tesla,Model 3,27600.0,"28,029",N/A,Source.TESLA
2021,Tesla,Model 3,27700.0,"17,683",N/A,Source.TESLA
2021,Tesla,Model 3,27700.0,"31,250",N/A,Source.TESLA
2021,Tesla,Model 3,27700.0,"31,598",N/A,Source.TESLA
2021,Tesla,Model 3,27800.0,"30,533",N/A,Source.TESLA
2021,Tesla,Model 3,27800.0,"23,975",N/A,Source.TESLA
2018,Tesla,Model 3,27800.0,"37,066",N/A,Source.TESLA
2021,Tesla,Model 3,27800.0,"27,361",N/A,Source.TESLA
2021,Tesla,Model 3,27800.0,"20,165",N/A,Source.TESLA
2021,Tesla,Model 3,27900.0,"26,613",N/A,Source.TESLA
2021,Tesla,Model 3,27900.0,"32,490",N/A,Source.TESLA
2021,Tesla,Model 3,27900.0,"15,228",N/A,Source.TESLA
2021,Tesla,Model 3,27900.0,"27,640",N/A,Source.TESLA
2021,Tesla,Model 3,27900.0,"23,783",N/A,Source.TESLA
2021,Tesla,Model 3,28000.0,"29,286",N/A,Source.TESLA
2021,Tesla,Model 3,28000.0,"24,255",N/A,Source.TESLA
2021,Tesla,Model 3,28000.0,"28,906",N/A,Source.TESLA
2021,Tesla,Model 3,28000.0,"27,995",N/A,Source.TESLA
2021,Tesla,Model 3,28000.0,"19,258",N/A,Source.TESLA
2021,Tesla,Model 3,28000.0,"29,836",N/A,Source.TESLA
2021,Tesla,Model 3,28100.0,"29,691",N/A,Source.TESLA
2021,Tesla,Model 3,28100.0,"38,948",N/A,Source.TESLA
2021,Tesla,Model 3,28100.0,"29,955",N/A,Source.TESLA
2021,Tesla,Model 3,28100.0,"18,059",N/A,Source.TESLA
2021,Tesla,Model 3,28100.0,"27,017",N/A,Source.TESLA
2021,Tesla,Model 3,28100.0,"24,666",N/A,Source.TESLA
2021,Tesla,Model 3,28100.0,"29,942",N/A,Source.TESLA
2021,Tesla,Model 3,28200.0,"24,884",N/A,Source.TESLA
2021,Tesla,Model 3,28200.0,"23,138",N/A,Source.TESLA
2021,Tesla,Model 3,28200.0,"30,216",N/A,Source.TESLA
2021,Tesla,Model 3,28200.0,"26,982",N/A,Source.TESLA
2021,Tesla,Model 3,28300.0,"18,143",N/A,Source.TESLA
2021,Tesla,Model 3,28300.0,"25,978",N/A,Source.TESLA
2021,Tesla,Model 3,28400.0,"26,223",N/A,Source.TESLA
2021,Tesla,Model 3,28500.0,"25,810",N/A,Source.TESLA
2021,Tesla,Model 3,28500.0,"55,876",N/A,Source.TESLA
2023,Tesla,Model 3,28500.0,"22,543",N/A,Source.TESLA
2021,Tesla,Model 3,28600.0,"20,322",N/A,Source.TESLA
2021,Tesla,Model 3,28600.0,"43,967",N/A,Source.TESLA
2021,Tesla,Model 3,28600.0,"15,290",N/A,Source.TESLA
2021,Tesla,Model 3,28700.0,"23,440",N/A,Source.TESLA
2021,Tesla,Model 3,28700.0,"25,918",N/A,Source.TESLA
2021,Tesla,Model 3,28700.0,"19,249",N/A,Source.TESLA
2021,Tesla,Model 3,28700.0,"18,966",N/A,Source.TESLA
2021,Tesla,Model 3,28800.0,"23,555",N/A,Source.TESLA
2021,Tesla,Model 3,28900.0,"14,567",N/A,Source.TESLA
2021,Tesla,Model 3,28900.0,"18,972",N/A,Source.TESLA
2020,Tesla,Model 3,28900.0,"35,061",N/A,Source.TESLA
2021,Tesla,Model 3,28900.0,"18,855",N/A,Source.TESLA
2021,Tesla,Model 3,29000.0,"23,691",N/A,Source.TESLA
2021,Tesla,Model 3,29000.0,"21,564",N/A,Source.TESLA
2021,Tesla,Model 3,29000.0,"17,068",N/A,Source.TESLA
2020,Tesla,Model 3,29100.0,"36,286",N/A,Source.TESLA
2022,Tesla,Model 3,29100.0,"48,209",N/A,Source.TESLA
2021,Tesla,Model 3,29100.0,"15,334",N/A,Source.TESLA
2021,Tesla,Model 3,29100.0,"51,104",N/A,Source.TESLA
2020,Tesla,Model 3,29200.0,"20,351",N/A,Source.TESLA
2021,Tesla,Model 3,29200.0,"18,050",N/A,Source.TESLA
2022,Tesla,Model 3,29200.0,"40,619",N/A,Source.TESLA
2021,Tesla,Model 3,29300.0,"22,291",N/A,Source.TESLA
2021,Tesla,Model 3,29300.0,"13,885",N/A,Source.TESLA
2021,Tesla,Model 3,29400.0,"15,940",N/A,Source.TESLA
2021,Tesla,Model 3,29400.0,"14,083",N/A,Source.TESLA
2020,Tesla,Model 3,29400.0,"47,715",N/A,Source.TESLA
2021,Tesla,Model 3,29500.0,"44,704",N/A,Source.TESLA
2022,Tesla,Model 3,29500.0,"38,473",N/A,Source.TESLA
2021,Tesla,Model 3,29500.0,"18,722",N/A,Source.TESLA
2021,Tesla,Model 3,29500.0,"25,774",N/A,Source.TESLA
2021,Tesla,Model 3,29600.0,"20,585",N/A,Source.TESLA
2021,Tesla,Model 3,29600.0,"20,108",N/A,Source.TESLA
2021,Tesla,Model 3,29700.0,"45,299",N/A,Source.TESLA
2023,Tesla,Model 3,29700.0,"6,306",N/A,Source.TESLA
2021,Tesla,Model 3,29700.0,"22,120",N/A,Source.TESLA
2023,Tesla,Model 3,29700.0,"10,112",N/A,Source.TESLA
2021,Tesla,Model 3,29800.0,"35,288",N/A,Source.TESLA
2023,Tesla,Model 3,29800.0,"16,911",N/A,Source.TESLA
2021,Tesla,Model 3,29800.0,"40,701",N/A,Source.TESLA
2023,Tesla,Model 3,29800.0,"8,019",N/A,Source.TESLA
2021,Tesla,Model 3,29800.0,"45,010",N/A,Source.TESLA
2023,Tesla,Model 3,29800.0,"5,538",N/A,Source.TESLA
2021,Tesla,Model 3,29900.0,"17,818",N/A,Source.TESLA
2020,Tesla,Model 3,29900.0,"24,855",N/A,Source.TESLA
2021,Tesla,Model 3,29900.0,"13,464",N/A,Source.TESLA
2021,Tesla,Model 3,29900.0,"43,655",N/A,Source.TESLA
2021,Tesla,Model 3,29900.0,"17,495",N/A,Source.TESLA
2021,Tesla,Model 3,30000.0,"13,279",N/A,Source.TESLA
2021,Tesla,Model 3,30000.0,"16,416",N/A,Source.TESLA
2021,Tesla,Model 3,30000.0,"9,813",N/A,Source.TESLA
2021,Tesla,Model 3,30100.0,"34,697",N/A,Source.TESLA
2021,Tesla,Model 3,30100.0,"17,557",N/A,Source.TESLA
2020,Tesla,Model 3,30100.0,"32,008",N/A,Source.TESLA
2021,Tesla,Model 3,30100.0,"41,101",N/A,Source.TESLA
2022,Tesla,Model 3,30100.0,"49,390",N/A,Source.TESLA
2021,Tesla,Model 3,30200.0,"32,675",N/A,Source.TESLA
2022,Tesla,Model 3,30200.0,"34,341",N/A,Source.TESLA
2023,Tesla,Model 3,30200.0,"9,802",N/A,Source.TESLA
2020,Tesla,Model 3,30200.0,"22,698",N/A,Source.TESLA
2021,Tesla,Model 3,30200.0,"19,616",N/A,Source.TESLA
2022,Tesla,Model 3,30200.0,"35,493",N/A,Source.TESLA
2023,Tesla,Model 3,30300.0,"8,127",N/A,Source.TESLA
2021,Tesla,Model 3,30300.0,"43,332",N/A,Source.TESLA
2021,Tesla,Model 3,30300.0,"14,329",N/A,Source.TESLA
2020,Tesla,Model 3,30300.0,"32,543",N/A,Source.TESLA
2023,Tesla,Model 3,30300.0,"18,431",N/A,Source.TESLA
2021,Tesla,Model 3,30300.0,"28,979",N/A,Source.TESLA
2021,Tesla,Model 3,30300.0,"14,880",N/A,Source.TESLA
2022,Tesla,Model 3,30400.0,"43,023",N/A,Source.TESLA
2020,Tesla,Model 3,30400.0,"22,601",N/A,Source.TESLA
2021,Tesla,Model 3,30500.0,"30,116",N/A,Source.TESLA
2021,Tesla,Model 3,30500.0,"38,484",N/A,Source.TESLA
2022,Tesla,Model 3,30500.0,"53,224",N/A,Source.TESLA
2021,Tesla,Model 3,30500.0,"33,446",N/A,Source.TESLA
2021,Tesla,Model 3,30600.0,"37,028",N/A,Source.TESLA
2021,Tesla,Model 3,30600.0,"36,465",N/A,Source.TESLA
2021,Tesla,Model 3,30600.0,"27,410",N/A,Source.TESLA
2021,Tesla,Model 3,30600.0,"37,472",N/A,Source.TESLA
2021,Tesla,Model 3,30600.0,"25,989",N/A,Source.TESLA
2021,Tesla,Model 3,30700.0,"32,409",N/A,Source.TESLA
2023,Tesla,Model 3,30700.0,"7,435",N/A,Source.TESLA
2021,Tesla,Model 3,30800.0,"36,709",N/A,Source.TESLA
2022,Tesla,Model 3,31000.0,"38,589",N/A,Source.TESLA
2021,Tesla,Model 3,31000.0,"35,828",N/A,Source.TESLA
2021,Tesla,Model 3,31000.0,"19,146",N/A,Source.TESLA
2021,Tesla,Model 3,31100.0,"33,939",N/A,Source.TESLA
2021,Tesla,Model 3,31100.0,"33,615",N/A,Source.TESLA
2021,Tesla,Model 3,31100.0,"12,611",N/A,Source.TESLA
2022,Tesla,Model 3,31100.0,"35,871",N/A,Source.TESLA
2021,Tesla,Model 3,31200.0,"34,266",N/A,Source.TESLA
2021,Tesla,Model 3,31300.0,"33,089",N/A,Source.TESLA
2021,Tesla,Model 3,31300.0,"25,913",N/A,Source.TESLA
2020,Tesla,Model 3,31300.0,"19,128",N/A,Source.TESLA
2020,Tesla,Model 3,31300.0,"21,694",N/A,Source.TESLA
2020,Tesla,Model 3,31300.0,"12,429",N/A,Source.TESLA
2021,Tesla,Model 3,31300.0,"27,257",N/A,Source.TESLA
2021,Tesla,Model 3,31300.0,"32,870",N/A,Source.TESLA
2021,Tesla,Model 3,31300.0,"30,209",N/A,Source.TESLA
2021,Tesla,Model 3,31400.0,"21,767",N/A,Source.TESLA
2019,Tesla,Model 3,31400.0,"22,618",N/A,Source.TESLA
2021,Tesla,Model 3,31500.0,"29,677",N/A,Source.TESLA
2021,Tesla,Model 3,31500.0,"49,601",N/A,Source.TESLA
2023,Tesla,Model 3,31600.0,"7,421",N/A,Source.TESLA
2021,Tesla,Model 3,31700.0,"26,719",N/A,Source.TESLA
2022,Tesla,Model 3,31800.0,"35,894",N/A,Source.TESLA
2021,Tesla,Model 3,31800.0,"23,057",N/A,Source.TESLA
2021,Tesla,Model 3,31800.0,"34,678",N/A,Source.TESLA
2021,Tesla,Model 3,31800.0,"28,392",N/A,Source.TESLA
2023,Tesla,Model 3,31900.0,"9,782",N/A,Source.TESLA
2021,Tesla,Model 3,32000.0,"29,268",N/A,Source.TESLA
2021,Tesla,Model 3,32000.0,"39,786",N/A,Source.TESLA
2023,Tesla,Model 3,32000.0,"8,638",N/A,Source.TESLA
2021,Tesla,Model 3,32000.0,"18,017",N/A,Source.TESLA
2022,Tesla,Model 3,32100.0,"30,437",N/A,Source.TESLA
2023,Tesla,Model 3,32100.0,"12,898",N/A,Source.TESLA
2021,Tesla,Model 3,32200.0,"32,997",N/A,Source.TESLA
2021,Tesla,Model 3,32200.0,"16,629",N/A,Source.TESLA
2020,Tesla,Model 3,32300.0,"34,965",N/A,Source.TESLA
2021,Tesla,Model 3,32300.0,"26,746",N/A,Source.TESLA
2021,Tesla,Model 3,32300.0,"31,161",N/A,Source.TESLA
2021,Tesla,Model 3,32300.0,"25,692",N/A,Source.TESLA
2022,Tesla,Model 3,32300.0,"30,109",N/A,Source.TESLA
2021,Tesla,Model 3,32400.0,"28,391",N/A,Source.TESLA
2021,Tesla,Model 3,32400.0,"24,999",N/A,Source.TESLA
2021,Tesla,Model 3,32500.0,"22,218",N/A,Source.TESLA
2021,Tesla,Model 3,32600.0,"27,849",N/A,Source.TESLA
2021,Tesla,Model 3,32700.0,"14,810",N/A,Source.TESLA
2022,Tesla,Model 3,32700.0,"28,583",N/A,Source.TESLA
2021,Tesla,Model 3,32900.0,"17,909",N/A,Source.TESLA
2023,Tesla,Model 3,32900.0,"6,524",N/A,Source.TESLA
2022,Tesla,Model 3,33000.0,"53,698",N/A,Source.TESLA
2023,Tesla,Model 3,33000.0,"5,615",N/A,Source.TESLA
2021,Tesla,Model 3,33100.0,"39,954",N/A,Source.TESLA
2021,Tesla,Model 3,33100.0,"21,327",N/A,Source.TESLA
2021,Tesla,Model 3,33200.0,"22,479",N/A,Source.TESLA
2022,Tesla,Model 3,33400.0,"29,525",N/A,Source.TESLA
2021,Tesla,Model 3,33500.0,"15,785",N/A,Source.TESLA
2022,Tesla,Model 3,33700.0,"32,717",N/A,Source.TESLA
2021,Tesla,Model 3,33700.0,"20,295",N/A,Source.TESLA
2022,Tesla,Model 3,33900.0,"28,597",N/A,Source.TESLA
2022,Tesla,Model 3,33900.0,"30,881",N/A,Source.TESLA
2021,Tesla,Model 3,34000.0,"14,376",N/A,Source.TESLA
2022,Tesla,Model 3,34000.0,"26,513",N/A,Source.TESLA
2022,Tesla,Model 3,34000.0,"27,988",N/A,Source.TESLA
2022,Tesla,Model 3,34000.0,"29,771",N/A,Source.TESLA
2023,Tesla,Model 3,34000.0,"2,625",N/A,Source.TESLA
2021,Tesla,Model 3,34200.0,"18,468",N/A,Source.TESLA
2023,Tesla,Model 3,34300.0,"2,517",N/A,Source.TESLA
2021,Tesla,Model 3,34300.0,"21,426",N/A,Source.TESLA
2022,Tesla,Model 3,34300.0,"37,132",N/A,Source.TESLA
