Year,Make,Model,Price,Miles,Rating,Source
2019,Chevrolet,Impala,22990.0,23777,LT Sedan 4D,Source.CARVANA
2013,Volkswagen,Beetle,19990.0,31674,2.5L Convertible 2D,Source.CARVANA
2017,Chevrolet,Impala,20990.0,56032,Premier Sedan 4D,Source.CARVANA
2015,Mercedes-Benz,CLS-Class,24590.0,65571,CLS 400 4MATIC Coupe 4D,Source.CARVANA
2021,Lexus,LX,69990.0,31712,LX 570 Sport Utility 4D,Source.CARVANA
2019,Mercedes-Benz,E-Class,38990.0,15630,E 450 4MATIC Sedan 4D,Source.CARVANA
2017,Nissan,TITAN XD Crew Cab,31590.0,65829,SL Pickup 4D 6 1/2 ft,Source.CARVANA
2014,Dodge,Dart,13990.0,36536,SE Sedan 4D,Source.CARVANA
2021,Porsche,Panamera,71590.0,25404,Sedan 4D,Source.CARVANA
2018,Jeep,Wrangler Unlimited,27990.0,43175,Sport (JK) SUV 4D,Source.CARVANA
2019,Audi,Q7,29990.0,58855,55 TFSI Premium Plus Sport Utility 4D,Source.CARVANA
2017,BMW,M4,51590.0,13134,Coupe 2D,Source.CARVANA
2012,Mercedes-Benz,SLK-Class,19990.0,57633,SLK 350 Roadster 2D,Source.CARVANA
2019,Chevrolet,Camaro,24990.0,38390,LT Coupe 2D,Source.CARVANA
2014,Porsche,911,74990.0,43085,Carrera 4S Cabriolet 2D,Source.CARVANA
2020,Land Rover,Discovery Sport,25990.0,28521,Standard Sport Utility 4D,Source.CARVANA
2013,BMW,6 Series,21590.0,63527,640i Gran Coupe 4D,Source.CARVANA
2018,FIAT,124 Spider,21590.0,18581,Classica Convertible 2D,Source.CARVANA
2018,Buick,Regal TourX,20990.0,75473,Essence Wagon 4D,Source.CARVANA
2018,Mercedes-Benz,GLA,27590.0,23091,GLA 250 Sport Utility 4D,Source.CARVANA
2018,Acura,TLX,26590.0,49433,3.5 w/Technology Pkg & A-SPEC Pkg Sedan 4D,Source.CARVANA
2016,BMW,X5,27990.0,34421,xDrive40e Sport Utility 4D,Source.CARVANA
2017,Mercedes-Benz,Mercedes-AMG GLS,52990.0,29610,GLS 63 4MATIC Sport Utility 4D,Source.CARVANA
2018,Land Rover,Range Rover Velar,36990.0,38247,R-Dynamic HSE Sport Utility 4D,Source.CARVANA
2017,Jeep,Wrangler Unlimited,31590.0,19455,Sahara Sport Utility 4D,Source.CARVANA
2023,Nissan,Frontier Crew Cab,30990.0,14734,S Pickup 4D 5 ft,Source.CARVANA
2021,Lexus,ES,31590.0,33316,ES 250 Sedan 4D,Source.CARVANA
2021,Chevrolet,Camaro,30590.0,21094,LT Convertible 2D,Source.CARVANA
2014,Jeep,Grand Cherokee,20990.0,53553,Overland Sport Utility 4D,Source.CARVANA
2018,Kia,Cadenza,24990.0,54174,Limited Sedan 4D,Source.CARVANA
2019,INFINITI,Q70,31590.0,22298,L 3.7 Luxe Sedan 4D,Source.CARVANA
2019,Toyota,86,27990.0,40427,TRD Special Edition Coupe 2D,Source.CARVANA
2023,Chevrolet,Malibu,23990.0,28832,RS Sedan 4D,Source.CARVANA
2015,Volkswagen,e-Golf,13990.0,50498,SEL Premium Hatchback Sedan 4D,Source.CARVANA
2018,BMW,3 Series,23590.0,39874,330i Sedan 4D,Source.CARVANA
2018,GMC,Yukon,33590.0,78130,SLT Sport Utility 4D,Source.CARVANA
2015,Jeep,Wrangler,24590.0,76521,Unlimited Sahara Sport Utility 4D,Source.CARVANA
2013,Porsche,Boxster,35590.0,53526,Convertible 2D,Source.CARVANA
2019,Mercedes-Benz,A-Class,24990.0,42215,A 220 4MATIC Sedan 4D,Source.CARVANA
2013,Toyota,Tacoma Double Cab,23590.0,100489,PreRunner Pickup 4D 5 ft,Source.CARVANA
2023,Nissan,Frontier Crew Cab,31990.0,20026,SV Pickup 4D 6 ft,Source.CARVANA
2020,Alfa Romeo,Giulia,57990.0,20425,Quadrifoglio Sedan 4D,Source.CARVANA
2018,Mercedes-Benz,S-Class,36990.0,59221,S 450 Sedan 4D,Source.CARVANA
2019,Acura,TLX,25990.0,20088,3.5 Sedan 4D,Source.CARVANA
2019,GMC,Sierra 2500 HD Crew Cab,46990.0,37461,SLT Pickup 4D 6 1/2 ft,Source.CARVANA
2023,Dodge,Durango,45990.0,27381,R/T Plus Sport Utility 4D,Source.CARVANA
2019,Chevrolet,Impala,20990.0,71813,Premier Sedan 4D,Source.CARVANA
2016,Subaru,WRX,20990.0,67350,Premium Sedan 4D,Source.CARVANA
2023,Cadillac,CT5,34590.0,27196,Premium Luxury Sedan 4D,Source.CARVANA
2016,Chevrolet,Corvette,41590.0,34963,Stingray Coupe 2D,Source.CARVANA
2020,Volvo,XC40,27590.0,54812,T5 R-Design Sport Utility 4D,Source.CARVANA
2019,Volkswagen,Golf Alltrack,27590.0,25239,TSI SEL Wagon 4D,Source.CARVANA
2019,MINI,Hardtop 4 Door,21590.0,41150,Cooper S Hatchback 4D,Source.CARVANA
2015,INFINITI,Q50,15990.0,97626,3.7 Sedan 4D,Source.CARVANA
2018,Porsche,718 Cayman,59990.0,20951,S Coupe 2D,Source.CARVANA
2017,BMW,7 Series,30990.0,59857,750i Sedan 4D,Source.CARVANA
2020,Dodge,Charger,20990.0,83384,SXT Sedan 4D,Source.CARVANA
2016,Jeep,Wrangler,24990.0,31593,Sport SUV 2D,Source.CARVANA
2019,Buick,Regal TourX,17990.0,91715,Preferred Wagon 4D,Source.CARVANA
2017,Audi,A7,30590.0,40478,Premium Plus Sedan 4D,Source.CARVANA
2018,Toyota,Tacoma Access Cab,27990.0,33732,SR Pickup 4D 6 ft,Source.CARVANA
2020,Alfa Romeo,Giulia,55990.0,23572,Quadrifoglio Sedan 4D,Source.CARVANA
2020,Nissan,Frontier Crew Cab,32990.0,20546,PRO-4X Pickup 4D 5 ft,Source.CARVANA
2017,BMW,2 Series,24990.0,34386,230i xDrive Coupe 2D,Source.CARVANA
2019,Chevrolet,Corvette,50990.0,13490,Stingray Coupe 2D,Source.CARVANA
2015,Chevrolet,Camaro,27990.0,46413,SS Convertible 2D,Source.CARVANA
2017,Mercedes-Benz,E-Class,28590.0,19619,E 300 Sedan 4D,Source.CARVANA
2021,Mercedes-Benz,C-Class,28990.0,43908,C 300 Sedan 4D,Source.CARVANA
2014,Cadillac,ATS,15990.0,67700,2.5L Standard Sedan 4D,Source.CARVANA
2020,INFINITI,Q50,32990.0,39094,RED SPORT 400 Sedan 4D,Source.CARVANA
2019,Audi,RS 3,51990.0,11241,Sedan 4D,Source.CARVANA
2020,Genesis,G70,29990.0,6030,2.0T Sedan 4D,Source.CARVANA
2018,INFINITI,QX30,22590.0,20093,Luxury Sport Utility 4D,Source.CARVANA
2013,Jeep,Wrangler,22990.0,85781,Unlimited Sport S SUV 4D,Source.CARVANA
2023,MAZDA,CX-50,34990.0,9862,Turbo Sport Utility 4D,Source.CARVANA
2017,Volkswagen,Golf,17590.0,58959,TSI Wolfsburg Edition Hatchback Sedan 4D,Source.CARVANA
