Year,Make,Model,Price,Miles,Rating,Source
2022,MINI,Countryman Cooper ALL4,21536,54000,Excellent Price,Source.CAR_AND_DRIVER
2021,Ford,EcoSport SE FWD,15900,54000,Excellent Price,Source.CAR_AND_DRIVER
2020,Subaru,Outback 2.5i Limited,22221,68000,Excellent Price,Source.CAR_AND_DRIVER
2021,Honda,HR-V Sport AWD,19400,51000,Excellent Price,Source.CAR_AND_DRIVER
2022,Chevrolet,Trailblazer LS FWD,17405,54000,Excellent Price,Source.CAR_AND_DRIVER
2020,Jeep,Gladiator Sport,29998,38000,Excellent Price,Source.CAR_AND_DRIVER
2023,Ford,Escape Active FWD,21303,24000,Excellent Price,Source.CAR_AND_DRIVER
2023,Nissan,Sentra SV,19120,17000,Excellent Price,Source.CAR_AND_DRIVER
2022,Ram,"1500 Big Horn Quad Cab 6'4"" Box 2WD",26900,48000,Excellent Price,Source.CAR_AND_DRIVER
2021,Nissan,Versa SV CVT,14900,60000,Excellent Price,Source.CAR_AND_DRIVER
2022,Toyota,Tacoma SR5 Double Cab 5' Bed V6 2WD Automatic,27394,81000,Excellent Price,Source.CAR_AND_DRIVER
2021,Jeep,Grand Cherokee WK Laredo E RWD,23590,48000,Excellent Price,Source.CAR_AND_DRIVER
2021,Nissan,Rogue SL AWD,25998,28000,Excellent Price,Source.CAR_AND_DRIVER
2020,Jeep,Wrangler Unlimited Sport,28998,51000,Excellent Price,Source.CAR_AND_DRIVER
2023,Chevrolet,Equinox LT with 2FL AWD,23995,6000,Excellent Price,Source.CAR_AND_DRIVER
2021,Ford,Bronco Sport Base,19897,85000,Excellent Price,Source.CAR_AND_DRIVER
2021,Subaru,Forester 2.5i Premium,19800,91000,Excellent Price,Source.CAR_AND_DRIVER
2022,Dodge,Challenger GT RWD,23849,43000,Excellent Price,Source.CAR_AND_DRIVER
2021,GMC,Terrain SLT FWD,23900,25000,Excellent Price,Source.CAR_AND_DRIVER
2021,Ram,"1500 Big Horn Quad Cab 6'4"" Box 4WD",29273,37000,Excellent Price,Source.CAR_AND_DRIVER
2021,Ford,Explorer XLT 4WD,28361,33000,Great Price,Source.CAR_AND_DRIVER
2021,Ford,Bronco Sport Big Bend,25491,28000,Great Price,Source.CAR_AND_DRIVER
2023,Hyundai,Tucson SEL AWD,21000,51000,Excellent Price,Source.CAR_AND_DRIVER
2021,Toyota,Corolla LE CVT,17000,59000,Excellent Price,Source.CAR_AND_DRIVER
2020,Ford,Escape Titanium AWD,22998,41000,Great Price,Source.CAR_AND_DRIVER
2022,Volkswagen,Passat 2.0T SE,20995,26000,Excellent Price,Source.CAR_AND_DRIVER
2023,Hyundai,Sonata Hybrid SEL,24799,31,Excellent Price,Source.CAR_AND_DRIVER
2023,Nissan,Altima 2.5 SL AWD,27998,13000,Great Price,Source.CAR_AND_DRIVER
2021,Kia,K5 LXS FWD,19698,54000,Excellent Price,Source.CAR_AND_DRIVER
2021,Honda,HR-V Sport AWD,19200,61000,Excellent Price,Source.CAR_AND_DRIVER
2020,Ford,Explorer XLT RWD,29398,14000,Excellent Price,Source.CAR_AND_DRIVER
